PRODUCT_DESCRIPTION,ORDER_CITY,ORDER_DATE,ORDERID,QUANTITY
SLIM-FIT SUIT BLAZER,LONDON,2023-01-28,Trans-5136,1
SOFT BOWLING BAG,LONDON,2023-01-07,Trans-5137,4
FAUX SUEDE BOMBER JACKET,LONDON,2023-01-24,Trans-5138,5
STUDDED DENIM SKIRT,SOUTHAMPTON,2023-01-25,Trans-5139,3
OVERSIZED HOODIE,MANCHESTER,2023-01-16,Trans-5140,1
CROPPED HOODIE,LONDON,2023-01-14,Trans-5141,2
RIPPED JEANS,SOUTHAMPTON,2023-01-18,Trans-5142,4
JOGGER WAIST TROUSER,LIVERPOOL,2023-01-28,Trans-5143,3
KNIT POLO SHIRT,SOUTHAMPTON,2023-01-18,Trans-5144,3
STRIPED KNIT SWEATER,LIVERPOOL,2023-01-23,Trans-5145,2
JOGGER WAIST TROUSER,LIVERPOOL,2023-01-10,Trans-5146,4
HIGH-WAIST TROUSER,NEWCASTLE,2022-12-31,Trans-5147,2
FAUX SUEDE BOMBER JACKET,BIRMINGHAM,2023-01-23,Trans-5148,2
COLOUR BLOCK LEATHER JACKET,LONDON,2023-01-03,Trans-5149,1
SHIRT WITH CONTRAST COLLAR,LIVERPOOL,2023-01-21,Trans-5150,4
SLIM-FIT SUIT BLAZER,LIVERPOOL,2023-01-08,Trans-5151,3
SOFT BOWLING BAG,LIVERPOOL,2023-01-09,Trans-5152,2
LONG DENIM BERMUDA SHORT,LONDON,2022-12-31,Trans-5153,5
STUDDED DENIM SKIRT,LIVERPOOL,2023-01-05,Trans-5154,1
JOGGER WAIST TROUSER,LIVERPOOL,2023-01-18,Trans-5155,5
CROPPED HOODIE,NEWCASTLE,2023-01-24,Trans-5156,5
RIPPED JEANS,LONDON,2023-01-20,Trans-5157,3
SLIM FIT JEANS,SOUTHAMPTON,2023-01-19,Trans-5158,3
JOGGER WAIST TROUSER,LIVERPOOL,2023-01-23,Trans-5159,3
STRIPED KNIT SWEATER,LONDON,2023-01-30,Trans-5160,1
JOGGER WAIST TROUSER,LIVERPOOL,2023-01-06,Trans-5161,4
HIGH-WAIST TROUSER,LONDON,2023-01-26,Trans-5162,4
FAUX SUEDE BOMBER JACKET,LONDON,2023-01-23,Trans-5163,3
COLOUR BLOCK LEATHER JACKET,MANCHESTER,2023-01-20,Trans-5164,5
SHIRT WITH CONTRAST COLLAR,LIVERPOOL,2023-01-22,Trans-5165,4
SLIM-FIT SUIT BLAZER,LIVERPOOL,2023-01-14,Trans-5166,1
SOFT BOWLING BAG,SOUTHAMPTON,2023-01-15,Trans-5167,2
LONG DENIM BERMUDA SHORT,MANCHESTER,2023-01-08,Trans-5168,3
STUDDED DENIM SKIRT,LIVERPOOL,2023-01-30,Trans-5169,3
FAUX SUEDE BOMBER JACKET,LONDON,2023-01-22,Trans-5170,3
CROPPED HOODIE,LIVERPOOL,2023-01-19,Trans-5171,4
RIPPED JEANS,SOUTHAMPTON,2023-01-14,Trans-5172,3
SLIM FIT JEANS,LIVERPOOL,2023-01-02,Trans-5173,2
KNIT POLO SHIRT,LONDON,2023-01-10,Trans-5174,3
STRIPED KNIT SWEATER,BIRMINGHAM,2023-01-18,Trans-5175,5
JOGGER WAIST TROUSER,LIVERPOOL,2023-01-11,Trans-5176,4
HIGH-WAIST TROUSER,LONDON,2023-01-24,Trans-5177,4
FAUX SUEDE BOMBER JACKET,LONDON,2023-01-03,Trans-5178,4
COLOUR BLOCK LEATHER JACKET,SOUTHAMPTON,2023-01-27,Trans-5179,3
SHIRT WITH CONTRAST COLLAR,LONDON,2023-01-26,Trans-5180,2
SLIM-FIT SUIT BLAZER,LONDON,2023-01-15,Trans-5181,1
FAUX SUEDE BOMBER JACKET,LONDON,2023-01-22,Trans-5182,2
LONG DENIM BERMUDA SHORT,BIRMINGHAM,2023-01-23,Trans-5183,2
STUDDED DENIM SKIRT,LIVERPOOL,2023-01-04,Trans-5184,1
OVERSIZED HOODIE,LIVERPOOL,2023-01-27,Trans-5185,1
CROPPED HOODIE,BIRMINGHAM,2023-01-12,Trans-5186,4
RIPPED JEANS,LONDON,2023-01-02,Trans-5187,4
SLIM FIT JEANS,NEWCASTLE,2023-01-23,Trans-5188,3
KNIT POLO SHIRT,LONDON,2023-01-08,Trans-5189,4
STRIPED KNIT SWEATER,MANCHESTER,2023-01-15,Trans-5190,1
JOGGER WAIST TROUSER,LONDON,2023-01-23,Trans-5191,1
HIGH-WAIST TROUSER,MANCHESTER,2023-01-09,Trans-5192,2
FAUX SUEDE BOMBER JACKET,NEWCASTLE,2023-01-14,Trans-5193,4
COLOUR BLOCK LEATHER JACKET,LONDON,2023-01-18,Trans-5194,2
SHIRT WITH CONTRAST COLLAR,LONDON,2023-01-28,Trans-5195,2
SLIM-FIT SUIT BLAZER,LIVERPOOL,2023-01-25,Trans-5196,4
SOFT BOWLING BAG,LONDON,2023-01-25,Trans-5197,4
LONG DENIM BERMUDA SHORT,BIRMINGHAM,2023-01-18,Trans-5198,4
STUDDED DENIM SKIRT,LIVERPOOL,2023-01-24,Trans-5199,2
STUDDED DENIM SKIRT,BIRMINGHAM,2022-12-31,Trans-5200,1
KNIT POLO SHIRT,MANCHESTER,2022-12-31,Trans-5201,2
